Gen 62 | Best Fitness = 30.405
Gen 63 | Best Fitness = 30.405
Gen 64 | Best Fitness = 30.418
Gen 65 | Best Fitness = 30.496
Gen 66 | Best Fitness = 30.496
Gen 67 | Best Fitness = 30.496
Gen 68 | Best Fitness = 30.556
Gen 69 | Best Fitness = 30.556
Gen 70 | Best Fitness = 30.556
Gen 71 | Best Fitness = 30.556
Gen 72 | Best Fitness = 30.566
Gen 73 | Best Fitness = 30.639
Gen 74 | Best Fitness = 30.639
Gen 75 | Best Fitness = 30.696
Gen 76 | Best Fitness = 30.696
Gen 77 | Best Fitness = 30.696
Gen 78 | Best Fitness = 30.696
Gen 79 | Best Fitness = 30.752
Gen 80 | Best Fitness = 30.752
Gen 81 | Best Fitness = 30.752
Gen 82 | Best Fitness = 30.752
Gen 83 | Best Fitness = 30.752
Gen 84 | Best Fitness = 30.791
Gen 85 | Best Fitness = 30.792
Gen 86 | Best Fitness = 30.810
Gen 87 | Best Fitness = 30.827
Gen 88 | Best Fitness = 30.859
Gen 89 | Best Fitness = 30.859
Gen 90 | Best Fitness = 30.880
Gen 91 | Best Fitness = 30.880
Gen 92 | Best Fitness = 30.905
Gen 93 | Best Fitness = 31.097
